,index,cls,x1,y1,x2,y2,File_Path
0,001221,car,790.01,184.59,1210.73,374.0,./KITTI/training/image_2/001221.png
1,001221,cyclist,113.04,166.59,291.61,374.0,./KITTI/training/image_2/001221.png
2,001221,car,54.64,200.99,321.79,344.57,./KITTI/training/image_2/001221.png
3,001221,car,661.86,164.18,813.92,274.49,./KITTI/training/image_2/001221.png
4,001221,car,229.61,184.82,388.04,274.36,./KITTI/training/image_2/001221.png
5,001221,car,589.7,174.77,653.16,221.56,./KITTI/training/image_2/001221.png
6,001221,car,401.66,183.88,454.12,219.9,./KITTI/training/image_2/001221.png
7,001221,car,564.66,175.5,603.09,207.61,./KITTI/training/image_2/001221.png
8,001221,pedestrian,406.39,171.09,420.54,205.33,./KITTI/training/image_2/001221.png
9,001221,pedestrian,393.0,173.75,407.4,208.13,./KITTI/training/image_2/001221.png
10,001221,cyclist,288.69,174.84,397.5,333.99,./KITTI/training/image_2/001221.png
11,001221,dontcare,455.87,168.89,568.72,201.53,./KITTI/training/image_2/001221.png
12,000868,car,743.7,180.75,876.4,264.8,./KITTI/training/image_2/000868.png
13,000868,pedestrian,496.88,170.81,509.22,212.88,./KITTI/training/image_2/000868.png
14,000868,cyclist,834.25,171.84,897.32,221.27,./KITTI/training/image_2/000868.png
15,000868,car,812.97,166.69,881.46,192.24,./KITTI/training/image_2/000868.png
16,000868,car,972.0,163.96,1062.74,188.69,./KITTI/training/image_2/000868.png
17,000868,van,1165.34,156.75,1241.0,189.03,./KITTI/training/image_2/000868.png
18,000868,car,372.45,179.13,436.63,204.15,./KITTI/training/image_2/000868.png
19,000868,dontcare,54.35,185.44,149.19,209.44,./KITTI/training/image_2/000868.png
20,007434,car,565.88,172.54,680.93,283.36,./KITTI/training/image_2/007434.png
21,000589,car,590.29,174.54,616.44,200.38,./KITTI/training/image_2/000589.png
22,000589,car,22.11,181.89,249.2,288.38,./KITTI/training/image_2/000589.png
23,000589,van,208.82,168.75,318.3,235.62,./KITTI/training/image_2/000589.png
24,000589,van,444.15,167.84,486.64,205.83,./KITTI/training/image_2/000589.png
25,007466,car,586.09,168.99,614.74,195.17,./KITTI/training/image_2/007466.png
26,007466,car,521.36,171.67,567.92,204.2,./KITTI/training/image_2/007466.png
27,007466,car,329.29,170.47,397.85,204.01,./KITTI/training/image_2/007466.png
28,007466,dontcare,0.0,0.0,144.44,226.52,./KITTI/training/image_2/007466.png
29,007466,dontcare,609.67,164.16,654.38,192.25,./KITTI/training/image_2/007466.png
30,001620,car,167.99,194.29,382.94,264.35,./KITTI/training/image_2/001620.png
31,001620,dontcare,523.38,176.73,589.42,201.61,./KITTI/training/image_2/001620.png
32,001620,dontcare,391.18,175.36,416.06,214.47,./KITTI/training/image_2/001620.png
33,000435,car,321.26,187.63,450.4,276.39,./KITTI/training/image_2/000435.png
34,000435,van,422.69,145.36,519.36,237.33,./KITTI/training/image_2/000435.png
35,000435,car,393.08,187.45,572.48,301.74,./KITTI/training/image_2/000435.png
36,000435,cyclist,743.41,163.1,777.31,220.42,./KITTI/training/image_2/000435.png
37,000435,car,513.05,180.36,548.12,209.7,./KITTI/training/image_2/000435.png
38,001105,car,683.89,182.81,778.44,254.66,./KITTI/training/image_2/001105.png
